Property Name,Visits,Values Accumulated,Trial Number,Position Number
Supertax,4,4000,79,38
First_community_chest,4,4,80,2
Northhumber,2,240,81,14
Free_parking,1,1,82,20
Second_chance,5,5,83,22
Water_works,3,240,84,28
Liverpool_station,3,750,85,35
Go,3,3,86,0
Pall_mall,2,200,87,11
Marlborough_street,5,700,88,18
leicester_square,5,1100,89,26
Regent_street,1,260,90,31
Parklane,1,350,91,37
Euston,1,60,92,8
Just_visiting,3,3,93,10
Vine_street,2,320,94,19
Conventry_street,3,660,95,27
Third_chance,3,3,96,36
The_angel_islington,7,420,97,6
White_hall,2,200,98,13
Marlborough_street,6,840,99,18
Water_works,4,320,100,28
Liverpool_station,4,1000,101,35
Parklane,2,700,102,37
Mayfair,3,1500,103,39
White_chapel,2,80,104,3
Electric_company,4,320,105,12
Maryleborne_station,2,500,106,15
Strand,2,360,107,21
Transfalgar_square,1,200,108,24
Picadilly,1,240,109,29
Old_kent,2,40,110,1
Income_Tax,2,4000,111,4
Maryleborne_station,3,750,112,15
Strand,3,540,113,21
Water_works,5,400,114,28
Third_community_chest,2,2,115,33
Income_Tax,3,6000,116,4
Electric_company,5,400,117,12
Free_parking,2,2,118,20
Transfalgar_square,2,400,119,24
Regent_street,2,520,120,31
Mayfair,4,2000,121,39
Euston,2,120,122,8
Electric_company,6,480,123,12
Vine_street,3,480,124,19
Second_chance,6,6,125,22
Conventry_street,4,880,126,27
Supertax,5,5000,127,38
Pentoville,3,240,128,9
Pall_mall,3,300,129,11
Second_community_chest,5,5,130,17
Picadilly,2,480,131,29
Supertax,6,6000,132,38
Old_kent,3,60,133,1
King_cross_station,2,500,134,5
White_hall,3,300,135,13
Marlborough_street,7,980,136,18
Go_to_jail,2,2,137,30
Maryleborne_station,4,1000,138,15
Strand,4,720,139,21
Regent_street,3,780,140,31
Mayfair,5,2500,141,39
First_community_chest,5,5,142,2
Pentoville,4,320,143,9
Second_community_chest,6,6,144,17
Second_chance,7,7,145,22
leicester_square,6,1320,146,26
Oxford_street,7,1820,147,32
White_chapel,3,120,148,3
White_hall,4,400,149,13
Free_parking,3,3,150,20
leicester_square,7,1540,151,26
Liverpool_station,5,1250,152,35
Income_Tax,4,8000,153,4
Electric_company,7,560,154,12
Free_parking,4,4,155,20
Fleet_street,5,900,156,23
leicester_square,8,1760,157,26
Go_to_jail,3,3,158,30
Vine_street,4,640,159,19
Second_chance,8,8,160,22
Fenchchurch_station,2,500,161,25
Conventry_street,5,1100,162,27
Mayfair,6,3000,163,39
Old_kent,4,80,164,1
King_cross_station,3,750,165,5
Euston,3,180,166,8
Northhumber,3,360,167,14
Second_community_chest,7,7,168,17
Free_parking,5,5,169,20
Fenchchurch_station,3,750,170,25
Go_to_jail,4,4,171,30
Maryleborne_station,5,1250,172,15
Second_chance,9,9,173,22
Picadilly,3,720,174,29
Third_community_chest,3,3,175,33
Income_Tax,5,10000,176,4
Pentoville,5,400,177,9
Free_parking,6,6,178,20
Water_works,6,480,179,28
Bond_street,5,1400,180,34
Parklane,3,1050,181,37
Income_Tax,6,12000,182,4
Bow_street,3,420,183,16
Strand,5,900,184,21
Transfalgar_square,3,600,185,24
Conventry_street,6,1320,186,27
Supertax,7,7000,187,38
Pentoville,6,480,188,9
Second_community_chest,8,8,189,17
Transfalgar_square,4,800,190,24
Oxford_street,8,2080,191,32
White_chapel,4,160,192,3
Just_visiting,4,4,193,10
Marlborough_street,8,1120,194,18
Conventry_street,7,1540,195,27
Bond_street,6,1680,196,34
First_community_chest,6,6,197,2
Northhumber,4,480,198,14
Free_parking,7,7,199,20
Fleet_street,6,1080,200,23
Third_community_chest,4,4,201,33
Parklane,4,1400,202,37
Old_kent,5,100,203,1
King_cross_station,4,1000,204,5
First_chance,4,4,205,7
Second_community_chest,9,9,206,17
Free_parking,8,8,207,20
Picadilly,4,960,208,29
Go,4,4,209,0
First_chance,5,5,210,7
Just_visiting,5,5,211,10
Free_parking,9,9,212,20
Water_works,7,560,213,28
Regent_street,4,1040,214,31
Third_community_chest,5,5,215,33
Go,5,5,216,0
The_angel_islington,8,480,217,6
Bow_street,4,560,218,16
Vine_street,5,800,219,19
Fleet_street,7,1260,220,23
Bond_street,7,1960,221,34
King_cross_station,5,1250,222,5
Electric_company,8,640,223,12
Transfalgar_square,5,1000,224,24
Third_community_chest,6,6,225,33
King_cross_station,6,1500,226,5
Pall_mall,4,400,227,11
Strand,6,1080,228,21
Conventry_street,8,1760,229,27
Go_to_jail,5,5,230,30
Second_chance,10,10,231,22
Go_to_jail,6,6,232,30
White_hall,5,500,233,13
Fleet_street,8,1440,234,23
Third_community_chest,7,7,235,33
Old_kent,6,120,236,1
Pall_mall,5,500,237,11
Free_parking,10,10,238,20
Water_works,8,640,239,28
Bond_street,8,2240,240,34
Go,6,6,241,0
The_angel_islington,9,540,242,6
Marlborough_street,9,1260,243,18
Strand,7,1260,244,21
Regent_street,5,1300,245,31
White_chapel,5,200,246,3
Electric_company,9,720,247,12
Fleet_street,9,1620,248,23
leicester_square,9,1980,249,26
Liverpool_station,6,1500,250,35
Parklane,5,1750,251,37
White_chapel,6,240,252,3
King_cross_station,7,1750,253,5
Northhumber,5,600,254,14
leicester_square,10,2200,255,26
Third_chance,4,4,256,36
Euston,4,240,257,8
Northhumber,6,720,258,14
leicester_square,11,2420,259,26
Oxford_street,9,2340,260,32
White_chapel,7,280,261,3
Just_visiting,6,6,262,10
Second_chance,11,11,263,22
Third_community_chest,8,8,264,33
First_community_chest,7,7,265,2
White_hall,6,600,266,13
Bow_street,5,700,267,16
Second_chance,12,12,268,22
Fenchchurch_station,4,1000,269,25
Parklane,6,2100,270,37
Euston,5,300,271,8
Second_community_chest,10,10,272,17
Second_chance,13,13,273,22
Fenchchurch_station,5,1250,274,25
Parklane,7,2450,275,37
Mayfair,7,3500,276,39
The_angel_islington,10,600,277,6
Pall_mall,6,600,278,11
Bow_street,6,840,279,16
leicester_square,12,2640,280,26
Regent_street,6,1560,281,31
Liverpool_station,7,1750,282,35
Income_Tax,7,14000,283,4
The_angel_islington,11,660,284,6
Pentoville,7,560,285,9
Northhumber,7,840,286,14
Second_community_chest,11,11,287,17
Conventry_street,9,1980,288,27
Regent_street,7,1820,289,31
Bond_street,9,2520,290,34
Mayfair,8,4000,291,39
Pentoville,8,640,292,9
Strand,8,1440,293,21
Transfalgar_square,6,1200,294,24
Conventry_street,10,2200,295,27
Picadilly,5,1200,296,29
Regent_street,8,2080,297,31
Parklane,8,2800,298,37
White_chapel,8,320,299,3
Electric_company,10,800,300,12
Second_community_chest,12,12,301,17
Vine_street,6,960,302,19
Second_chance,14,14,303,22
Regent_street,9,2340,304,31
Bond_street,10,2800,305,34
Go,7,7,306,0
The_angel_islington,12,720,307,6
White_hall,7,700,308,13
Maryleborne_station,6,1500,309,15
Vine_street,7,1120,310,19
Water_works,9,720,311,28
Regent_street,10,2600,312,31
Supertax,8,8000,313,38
Income_Tax,8,16000,314,4
Bow_street,7,980,315,16
Transfalgar_square,7,1400,316,24
Water_works,10,800,317,28
Oxford_street,10,2600,318,32
Old_kent,7,140,319,1
Just_visiting,7,7,320,10
Free_parking,11,11,321,20
Water_works,11,880,322,28
Third_community_chest,9,9,323,33
Income_Tax,9,18000,324,4
Bow_street,8,1120,325,16
Water_works,12,960,326,28
Parklane,9,3150,327,37
Old_kent,8,160,328,1
First_chance,6,6,329,7
Vine_street,8,1280,330,19
Second_chance,15,15,331,22
Picadilly,6,1440,332,29
Third_community_chest,10,10,333,33
Mayfair,9,4500,334,39
King_cross_station,8,2000,335,5
Electric_company,11,880,336,12
Transfalgar_square,8,1600,337,24
Go_to_jail,7,7,338,30
Electric_company,12,960,339,12
Bow_street,9,1260,340,16
Vine_street,9,1440,341,19
Go_to_jail,8,8,342,30
White_hall,8,800,343,13
Second_community_chest,13,13,344,17
leicester_square,13,2860,345,26
Parklane,10,3500,346,37
King_cross_station,9,2250,347,5
Northhumber,8,960,348,14
Free_parking,12,12,349,20
Oxford_street,11,2860,350,32
Bond_street,11,3080,351,34
Third_chance,5,5,352,36
Euston,6,360,353,8
Vine_street,10,1600,354,19
Fleet_street,10,1800,355,23
Go_to_jail,9,9,356,30
Electric_company,13,1040,357,12
Northhumber,9,1080,358,14
Transfalgar_square,9,1800,359,24
Third_chance,6,6,360,36
Go,8,8,361,0
Pall_mall,7,700,362,11
Fleet_street,11,1980,363,23
Fenchchurch_station,6,1500,364,25
Go_to_jail,10,10,365,30
White_hall,9,900,366,13
Strand,9,1620,367,21
Transfalgar_square,10,2000,368,24
Third_chance,7,7,369,36
Income_Tax,10,20000,370,4
Northhumber,10,1200,371,14
Free_parking,13,13,372,20
Regent_street,11,2860,373,31
Go,9,9,374,0
Pall_mall,8,800,375,11
Bow_street,10,1400,376,16
Transfalgar_square,11,2200,377,24
leicester_square,14,3080,378,26
Oxford_street,12,3120,379,32
Third_chance,8,8,380,36
King_cross_station,10,2500,381,5
Second_community_chest,14,14,382,17
leicester_square,15,3300,383,26
Supertax,9,9000,384,38
Old_kent,9,180,385,1
Pentoville,9,720,386,9
Vine_street,11,1760,387,19
leicester_square,16,3520,388,26
Third_chance,9,9,389,36
White_chapel,9,360,390,3
Maryleborne_station,7,1750,391,15
leicester_square,17,3740,392,26
Regent_street,12,3120,393,31
White_chapel,10,400,394,3
Just_visiting,8,8,395,10
Electric_company,14,1120,396,12
Second_chance,16,16,397,22
Bond_street,12,3360,398,34
Parklane,11,3850,399,37
Pentoville,10,800,400,9
Second_community_chest,15,15,401,17
Vine_street,12,1920,402,19
Picadilly,7,1680,403,29
Third_chance,10,10,404,36
Euston,7,420,405,8
Free_parking,14,14,406,20
Picadilly,8,1920,407,29
Third_community_chest,11,11,408,33
Old_kent,10,200,409,1
Euston,8,480,410,8
Second_community_chest,16,16,411,17
Strand,10,1800,412,21
Water_works,13,1040,413,28
Go,10,10,414,0
The_angel_islington,13,780,415,6
Maryleborne_station,8,2000,416,15
Vine_street,13,2080,417,19
Fenchchurch_station,7,1750,418,25
Parklane,12,4200,419,37
White_chapel,11,440,420,3
White_hall,10,1000,421,13
Transfalgar_square,12,2400,422,24
Picadilly,9,2160,423,29
Mayfair,10,5000,424,39
The_angel_islington,14,840,425,6
Maryleborne_station,9,2250,426,15
Strand,11,1980,427,21
Water_works,14,1120,428,28
Third_community_chest,12,12,429,33
Parklane,13,4550,430,37
The_angel_islington,15,900,431,6
Pentoville,11,880,432,9
Electric_company,15,1200,433,12
Bow_street,11,1540,434,16
Second_chance,17,17,435,22
Oxford_street,13,3380,436,32
Mayfair,11,5500,437,39
King_cross_station,11,2750,438,5
First_chance,7,7,439,7
Vine_street,14,2240,440,19
leicester_square,18,3960,441,26
Third_chance,11,11,442,36
King_cross_station,12,3000,443,5
First_chance,8,8,444,7
Marlborough_street,10,1400,445,18
Conventry_street,11,2420,446,27
Third_chance,12,12,447,36
Supertax,10,10000,448,38
First_community_chest,8,8,449,2
White_hall,11,1100,450,13
Fleet_street,12,2160,451,23
Fenchchurch_station,8,2000,452,25
Conventry_street,12,2640,453,27
Picadilly,10,2400,454,29
Third_community_chest,13,13,455,33
Supertax,11,11000,456,38
King_cross_station,13,3250,457,5
Electric_company,16,1280,458,12
Second_community_chest,17,17,459,17
Fleet_street,13,2340,460,23
Picadilly,11,2640,461,29
Regent_street,13,3380,462,31
Parklane,14,4900,463,37
Pentoville,12,960,464,9
Vine_street,15,2400,465,19
Fenchchurch_station,9,2250,466,25
Regent_street,14,3640,467,31
First_community_chest,9,9,468,2
Northhumber,11,1320,469,14
Transfalgar_square,13,2600,470,24
Third_community_chest,14,14,471,33
King_cross_station,14,3500,472,5
Maryleborne_station,10,2500,473,15
Fleet_street,14,2520,474,23
leicester_square,19,4180,475,26
Go_to_jail,11,11,476,30
Strand,12,2160,477,21
leicester_square,20,4400,478,26
Third_chance,13,13,479,36
Income_Tax,11,22000,480,4
Maryleborne_station,11,2750,481,15
Strand,13,2340,482,21
Transfalgar_square,14,2800,483,24
Bond_street,13,3640,484,34
Go,11,11,485,0
Electric_company,17,1360,486,12
Second_chance,18,18,487,22
Bond_street,14,3920,488,34
Income_Tax,12,24000,489,4
Pentoville,13,1040,490,9
Marlborough_street,11,1540,491,18
Conventry_street,13,2860,492,27
Regent_street,15,3900,493,31
White_chapel,12,480,494,3
Pall_mall,9,900,495,11
Second_community_chest,18,18,496,17
Free_parking,15,15,497,20
Conventry_street,14,3080,498,27
Third_community_chest,15,15,499,33
Liverpool_station,8,2000,500,35
Go,12,12,501,0
White_chapel,13,520,502,3
Pentoville,14,1120,503,9
Maryleborne_station,12,3000,504,15
Strand,14,2520,505,21
Oxford_street,14,3640,506,32
Liverpool_station,9,2250,507,35
The_angel_islington,16,960,508,6
Pall_mall,10,1000,509,11
Second_chance,19,19,510,22
Third_community_chest,16,16,511,33
Liverpool_station,10,2500,512,35
King_cross_station,15,3750,513,5
Pall_mall,11,1100,514,11
Vine_street,16,2560,515,19
Fleet_street,15,2700,516,23
Picadilly,12,2880,517,29
Supertax,12,12000,518,38
The_angel_islington,17,1020,519,6
Pall_mall,12,1200,520,11
Marlborough_street,12,1680,521,18
leicester_square,21,4620,522,26
Supertax,13,13000,523,38
White_chapel,14,560,524,3
Just_visiting,9,9,525,10
Electric_company,18,1440,526,12
Northhumber,12,1440,527,14
Transfalgar_square,15,3000,528,24
Bond_street,15,4200,529,34
Supertax,14,14000,530,38
First_chance,9,9,531,7
Just_visiting,10,10,532,10
Free_parking,16,16,533,20
Water_works,15,1200,534,28
Go_to_jail,12,12,535,30
Second_community_chest,19,19,536,17
Fleet_street,16,2880,537,23
Bond_street,16,4480,538,34
Third_chance,14,14,539,36
White_chapel,15,600,540,3
Northhumber,13,1560,541,14
Fenchchurch_station,10,2500,542,25
Bond_street,17,4760,543,34
King_cross_station,16,4000,544,5
White_hall,12,1200,545,13
Marlborough_street,13,1820,546,18
Fenchchurch_station,11,2750,547,25
Regent_street,16,4160,548,31
Go,13,13,549,0
Just_visiting,11,11,550,10
Bow_street,12,1680,551,16
Free_parking,17,17,552,20
Water_works,16,1280,553,28
Third_community_chest,17,17,554,33
Old_kent,11,220,555,1
The_angel_islington,18,1080,556,6
Electric_company,19,1520,557,12
Strand,15,2700,558,21
Conventry_street,15,3300,559,27
Go_to_jail,13,13,560,30
Strand,16,2880,561,21
Third_community_chest,18,18,562,33
King_cross_station,17,4250,563,5
Bow_street,13,1820,564,16
Transfalgar_square,16,3200,565,24
Third_community_chest,19,19,566,33
Mayfair,12,6000,567,39
Old_kent,12,240,568,1
Income_Tax,13,26000,569,4
Bow_street,14,1960,570,16
Free_parking,18,18,571,20
Regent_street,17,4420,572,31
Parklane,15,5250,573,37
First_community_chest,10,10,574,2
Just_visiting,12,12,575,10
Vine_street,17,2720,576,19
Water_works,17,1360,577,28
Third_chance,15,15,578,36
Mayfair,13,6500,579,39
King_cross_station,18,4500,580,5
Maryleborne_station,13,3250,581,15
Free_parking,19,19,582,20
Go_to_jail,14,14,583,30
Vine_street,18,2880,584,19
Second_chance,20,20,585,22
Water_works,18,1440,586,28
Mayfair,14,7000,587,39
The_angel_islington,19,1140,588,6
Pentoville,15,1200,589,9
Maryleborne_station,14,3500,590,15
Fenchchurch_station,12,3000,591,25
Regent_street,18,4680,592,31
Old_kent,13,260,593,1
Income_Tax,14,28000,594,4
White_hall,13,1300,595,13
Transfalgar_square,17,3400,596,24
Regent_street,19,4940,597,31
Supertax,15,15000,598,38
Income_Tax,15,30000,599,4
Euston,9,540,600,8
White_hall,14,1400,601,13
Maryleborne_station,15,3750,602,15
Strand,17,3060,603,21
Transfalgar_square,18,3600,604,24
Water_works,19,1520,605,28
Parklane,16,5600,606,37
The_angel_islington,20,1200,607,6
Pall_mall,13,1300,608,11
Maryleborne_station,16,4000,609,15
Second_community_chest,20,20,610,17
Second_chance,21,21,611,22
leicester_square,22,4840,612,26
Bond_street,18,5040,613,34
Third_chance,16,16,614,36
Supertax,16,16000,615,38
Income_Tax,16,32000,616,4
Pall_mall,14,1400,617,11
Strand,18,3240,618,21
Water_works,20,1600,619,28
Third_community_chest,20,20,620,33
Supertax,17,17000,621,38
Go,14,14,622,0
Electric_company,20,1600,623,12
Free_parking,20,20,624,20
Second_chance,22,22,625,22
Water_works,21,1680,626,28
Mayfair,15,7500,627,39
King_cross_station,19,4750,628,5
Bow_street,15,2100,629,16
Conventry_street,16,3520,630,27
Mayfair,16,8000,631,39
Pall_mall,15,1500,632,11
Fleet_street,17,3060,633,23
Oxford_street,15,3900,634,32
Income_Tax,17,34000,635,4
Pentoville,16,1280,636,9
White_hall,15,1500,637,13
Free_parking,21,21,638,20
Water_works,22,1760,639,28
Go_to_jail,15,15,640,30
Second_chance,23,23,641,22
Conventry_street,17,3740,642,27
Bond_street,19,5320,643,34
Income_Tax,18,36000,644,4
White_hall,16,1600,645,13
Second_community_chest,21,21,646,17
Free_parking,22,22,647,20
Transfalgar_square,19,3800,648,24
Water_works,23,1840,649,28
Supertax,18,18000,650,38
Pentoville,17,1360,651,9
Free_parking,23,23,652,20
Conventry_street,18,3960,653,27
Picadilly,13,3120,654,29
Oxford_street,16,4160,655,32
Parklane,17,5950,656,37
Go,15,15,657,0
Income_Tax,19,38000,658,4
Maryleborne_station,17,4250,659,15
Vine_street,19,3040,660,19
Transfalgar_square,20,4000,661,24
Conventry_street,19,4180,662,27
Bond_street,20,5600,663,34
Income_Tax,20,40000,664,4
White_hall,17,1700,665,13
Strand,19,3420,666,21
Fleet_street,18,3240,667,23
Fenchchurch_station,13,3250,668,25
Regent_street,20,5200,669,31
Third_chance,17,17,670,36
White_chapel,16,640,671,3
Northhumber,14,1680,672,14
Fleet_street,19,3420,673,23
Liverpool_station,11,2750,674,35
Supertax,19,19000,675,38
Old_kent,14,280,676,1
King_cross_station,20,5000,677,5
Bow_street,16,2240,678,16
Strand,20,3600,679,21
Fenchchurch_station,14,3500,680,25
Picadilly,14,3360,681,29
Old_kent,15,300,682,1
White_chapel,17,680,683,3
First_chance,10,10,684,7
Maryleborne_station,18,4500,685,15
Strand,21,3780,686,21
Fenchchurch_station,15,3750,687,25
Third_chance,18,18,688,36
The_angel_islington,21,1260,689,6
Electric_company,21,1680,690,12
Transfalgar_square,21,4200,691,24
Regent_street,21,5460,692,31
First_community_chest,11,11,693,2
Northhumber,15,1800,694,14
Fleet_street,20,3600,695,23
leicester_square,23,5060,696,26
Parklane,18,6300,697,37
Mayfair,17,8500,698,39
Pall_mall,16,1600,699,11
Vine_street,20,3200,700,19
Picadilly,15,3600,701,29
Bond_street,21,5880,702,34
First_community_chest,12,12,703,2
King_cross_station,21,5250,704,5
Pentoville,18,1440,705,9
Pall_mall,17,1700,706,11
Marlborough_street,14,1960,707,18
Conventry_street,20,4400,708,27
Picadilly,16,3840,709,29
Parklane,19,6650,710,37
Income_Tax,21,42000,711,4
First_chance,11,11,712,7
Electric_company,22,1760,713,12
Strand,22,3960,714,21
Regent_street,22,5720,715,31
Third_chance,19,19,716,36
First_chance,12,12,717,7
Vine_street,21,3360,718,19
Regent_street,23,5980,719,31
Third_chance,20,20,720,36
King_cross_station,22,5500,721,5
Electric_company,23,1840,722,12
Northhumber,16,1920,723,14
Transfalgar_square,22,4400,724,24
Oxford_street,17,4420,725,32
Mayfair,18,9000,726,39
Pentoville,19,1520,727,9
Vine_street,22,3520,728,19
Strand,23,4140,729,21
Water_works,24,1920,730,28
Third_chance,21,21,731,36
Go,16,16,732,0
Just_visiting,13,13,733,10
Strand,24,4320,734,21
Third_community_chest,21,21,735,33
Supertax,20,20000,736,38
King_cross_station,23,5750,737,5
Pall_mall,18,1800,738,11
Strand,25,4500,739,21
Picadilly,17,4080,740,29
Regent_street,24,6240,741,31
Go,17,17,742,0
Pentoville,20,1600,743,9
Maryleborne_station,19,4750,744,15
Strand,26,4680,745,21
Fenchchurch_station,16,4000,746,25
Third_community_chest,22,22,747,33
White_chapel,18,720,748,3
Northhumber,17,2040,749,14
Bow_street,17,2380,750,16
Transfalgar_square,23,4600,751,24
Oxford_street,18,4680,752,32
Mayfair,19,9500,753,39
First_community_chest,13,13,754,2
Pall_mall,19,1900,755,11
Bow_street,18,2520,756,16
Water_works,25,2000,757,28
Parklane,20,7000,758,37
Pentoville,21,1680,759,9
Marlborough_street,15,2100,760,18
Transfalgar_square,24,4800,761,24
Bond_street,22,6160,762,34
Third_chance,22,22,763,36
Income_Tax,22,44000,764,4
Just_visiting,14,14,765,10
White_hall,18,1800,766,13
Vine_street,23,3680,767,19
Go_to_jail,16,16,768,30
Free_parking,24,24,769,20
Fenchchurch_station,17,4250,770,25
Picadilly,18,4320,771,29
Supertax,21,21000,772,38
Just_visiting,15,15,773,10
Bow_street,19,2660,774,16
Second_chance,24,24,775,22
Bond_street,23,6440,776,34
Go,18,18,777,0
Pentoville,22,1760,778,9
Second_community_chest,22,22,779,17
Conventry_street,21,4620,780,27
Supertax,22,22000,781,38
Just_visiting,16,16,782,10
Free_parking,25,25,783,20
Regent_street,25,6500,784,31
White_chapel,19,760,785,3
White_hall,19,1900,786,13
Transfalgar_square,25,5000,787,24
Regent_street,26,6760,788,31
Liverpool_station,12,3000,789,35
White_chapel,20,800,790,3
King_cross_station,24,6000,791,5
Maryleborne_station,20,5000,792,15
Marlborough_street,16,2240,793,18
Fleet_street,21,3780,794,23
Go_to_jail,17,17,795,30
White_hall,20,2000,796,13
Strand,27,4860,797,21
Picadilly,19,4560,798,29
Bond_street,24,6720,799,34
Mayfair,20,10000,800,39
First_community_chest,14,14,801,2
Pall_mall,20,2000,802,11
Free_parking,26,26,803,20
Regent_street,27,7020,804,31
First_community_chest,15,15,805,2
First_chance,13,13,806,7
Vine_street,24,3840,807,19
Strand,28,5040,808,21
leicester_square,24,5280,809,26
Parklane,21,7350,810,37
Euston,10,600,811,8
White_hall,21,2100,812,13
Second_chance,25,25,813,22
Fenchchurch_station,18,4500,814,25
Picadilly,20,4800,815,29
Regent_street,28,7280,816,31
Old_kent,16,320,817,1
Pall_mall,21,2100,818,11
Fleet_street,22,3960,819,23
Liverpool_station,13,3250,820,35
Parklane,22,7700,821,37
Euston,11,660,822,8
Northhumber,18,2160,823,14
Vine_street,25,4000,824,19
Fleet_street,23,4140,825,23
Go_to_jail,18,18,826,30
Northhumber,19,2280,827,14
Bow_street,20,2800,828,16
Fenchchurch_station,19,4750,829,25
Liverpool_station,14,3500,830,35
First_community_chest,16,16,831,2
Electric_company,24,1920,832,12
Transfalgar_square,26,5200,833,24
Bond_street,25,7000,834,34
First_community_chest,17,17,835,2
Pentoville,23,1840,836,9
Northhumber,20,2400,837,14
leicester_square,25,5500,838,26
Liverpool_station,15,3750,839,35
Old_kent,17,340,840,1
The_angel_islington,22,1320,841,6
Second_community_chest,23,23,842,17
Fleet_street,24,4320,843,23
Go_to_jail,19,19,844,30
Strand,29,5220,845,21
Oxford_street,19,4940,846,32
Third_chance,23,23,847,36
Go,19,19,848,0
Euston,12,720,849,8
Marlborough_street,17,2380,850,18
Picadilly,21,5040,851,29
Oxford_street,20,5200,852,32
First_community_chest,18,18,853,2
Euston,13,780,854,8
Electric_company,25,2000,855,12
Free_parking,27,27,856,20
Regent_street,29,7540,857,31
First_community_chest,19,19,858,2
Pentoville,24,1920,859,9
Maryleborne_station,21,5250,860,15
Transfalgar_square,27,5400,861,24
Conventry_street,22,4840,862,27
Supertax,23,23000,863,38
The_angel_islington,23,1380,864,6
Marlborough_street,18,2520,865,18
Water_works,26,2080,866,28
Parklane,23,8050,867,37
King_cross_station,25,6250,868,5
Second_community_chest,24,24,869,17
Fleet_street,25,4500,870,23
leicester_square,26,5720,871,26
Parklane,24,8400,872,37
Euston,14,840,873,8
Electric_company,26,2080,874,12
Bow_street,21,2940,875,16
Water_works,27,2160,876,28
Oxford_street,21,5460,877,32
Liverpool_station,16,4000,878,35
Supertax,24,24000,879,38
Go,20,20,880,0
Just_visiting,17,17,881,10
Vine_street,26,4160,882,19
leicester_square,27,5940,883,26
Regent_street,30,7800,884,31
Bond_street,26,7280,885,34
Income_Tax,23,46000,886,4
Electric_company,27,2160,887,12
Free_parking,28,28,888,20
Fleet_street,26,4680,889,23
Bond_street,27,7560,890,34
The_angel_islington,24,1440,891,6
Pall_mall,22,2200,892,11
Fleet_street,27,4860,893,23
Oxford_street,22,5720,894,32
Bond_street,28,7840,895,34
Mayfair,21,10500,896,39
White_chapel,21,840,897,3
Maryleborne_station,22,5500,898,15
Marlborough_street,19,2660,899,18
Transfalgar_square,28,5600,900,24
Regent_street,31,8060,901,31
Go,21,21,902,0
King_cross_station,26,6500,903,5
Pall_mall,23,2300,904,11
Maryleborne_station,23,5750,905,15
Fleet_street,28,5040,906,23
Fenchchurch_station,20,5000,907,25
Third_chance,24,24,908,36
The_angel_islington,25,1500,909,6
Pall_mall,24,2400,910,11
Northhumber,21,2520,911,14
Marlborough_street,20,2800,912,18
Picadilly,22,5280,913,29
Regent_street,32,8320,914,31
White_chapel,22,880,915,3
Northhumber,22,2640,916,14
Marlborough_street,21,2940,917,18
Go_to_jail,20,20,918,30
Bow_street,22,3080,919,16
Fenchchurch_station,21,5250,920,25
Water_works,28,2240,921,28
Go,22,22,922,0
First_community_chest,20,20,923,2
Just_visiting,18,18,924,10
Northhumber,23,2760,925,14
Strand,30,5400,926,21
leicester_square,28,6160,927,26
Supertax,25,25000,928,38
Pentoville,25,2000,929,9
